Date,Open,High,Low,Close,Volume,Adusted Close
1997-02-02,17.34,17.34,17.34,17.34,0.0,
1997-02-09,17.28,17.28,17.28,17.28,0.0,
1997-02-16,17.44,17.44,17.44,17.44,0.0,
1997-02-23,17.44,17.44,17.44,17.44,0.0,
1997-03-02,17.34,17.34,17.34,17.34,0.0,
1997-03-09,17.55,17.55,17.55,17.55,0.0,
1997-03-16,17.44,17.44,17.44,17.44,0.0,
1997-03-23,17.18,17.18,17.18,17.18,0.0,
1997-03-30,17.07,17.07,17.07,17.07,0.0,
1997-04-06,16.74,16.74,16.74,16.74,0.0,
1997-04-13,16.74,16.74,16.74,16.74,0.0,
1997-04-20,16.86,16.86,16.86,16.86,0.0,
1997-04-27,16.58,16.58,16.58,16.58,0.0,
1997-05-04,17.25,17.25,17.25,17.25,0.0,
1997-05-11,17.57,17.57,17.57,17.57,0.0,
1997-05-18,17.76,17.76,17.76,17.76,0.0,
1997-05-25,18.18,18.18,18.18,18.18,0.0,
1997-06-01,18.4,18.4,18.4,18.4,0.0,
1997-06-08,18.68,18.68,18.68,18.68,0.0,
1997-06-15,19.1,19.1,19.1,19.1,0.0,
1997-06-22,19.24,19.24,19.24,19.24,0.0,
1997-06-29,19.39,19.39,19.39,19.39,0.0,
1997-07-06,19.7,19.7,19.7,19.7,0.0,
1997-07-13,19.94,19.94,19.94,19.94,0.0,
1997-07-20,20.13,20.13,20.13,20.13,0.0,
1997-07-27,20.35,20.35,20.35,20.35,0.0,
1997-08-03,20.7,20.7,20.7,20.7,0.0,
1997-08-10,20.82,20.82,20.82,20.82,0.0,
1997-08-17,20.69,20.69,20.69,20.69,0.0,
1997-08-24,20.93,20.93,20.93,20.93,0.0,
1997-08-31,21.45,21.45,21.45,21.45,0.0,
1997-09-07,21.98,21.98,21.98,21.98,0.0,
1997-09-14,22.47,22.47,22.47,22.47,0.0,
1997-09-21,22.73,22.73,22.73,22.73,0.0,
1997-09-28,22.96,22.96,22.96,22.96,0.0,
1997-10-05,23.4,23.4,23.4,23.4,0.0,
1997-10-12,23.62,23.62,23.62,23.62,0.0,
1997-10-19,23.03,23.03,23.03,23.03,0.0,
1997-10-26,23.01,23.01,23.01,23.01,0.0,
1997-11-02,22.28,22.28,22.28,22.28,0.0,
1997-11-09,22.38,22.38,22.38,22.38,0.0,
1997-11-16,22.06,22.06,22.06,22.06,0.0,
1997-11-23,22.29,22.29,22.29,22.29,0.0,
1997-11-30,22.09,22.09,22.09,22.09,0.0,
1997-12-07,22.31,22.31,22.31,22.31,0.0,
1997-12-14,21.74,21.74,21.74,21.74,0.0,
1997-12-21,21.47,21.47,21.47,21.47,0.0,
1997-12-28,20.49,20.49,20.49,20.49,0.0,
1998-01-04,21.13,21.13,21.13,21.13,0.0,
1998-01-11,20.23,20.23,20.23,20.23,0.0,
1998-01-18,20.68,20.68,20.68,20.68,0.0,
1998-01-25,20.59,20.59,20.59,20.59,0.0,
1998-02-01,20.81,20.81,20.81,20.81,0.0,
1998-02-08,21.42,21.42,21.42,21.42,0.0,
1998-02-15,21.85,21.85,21.85,21.85,0.0,
1998-02-22,21.98,21.98,21.98,21.98,0.0,
1998-03-01,22.38,22.38,22.38,22.38,0.0,
1998-03-08,22.57,22.57,22.57,22.57,0.0,
1998-03-15,22.82,22.82,22.82,22.82,0.0,
1998-03-22,23.08,23.08,23.08,23.08,0.0,
1998-03-29,23.21,23.21,23.21,23.21,0.0,
1998-04-05,23.5,23.5,23.5,23.5,0.0,
1998-04-12,23.45,23.45,23.45,23.45,0.0,
1998-04-19,23.84,23.84,23.84,23.84,0.0,
1998-04-26,23.74,23.74,23.74,23.74,0.0,
1998-05-03,23.83,23.83,23.83,23.83,0.0,
1998-05-10,23.68,23.68,23.68,23.68,0.0,
1998-05-17,23.49,23.49,23.49,23.49,0.0,
1998-05-24,23.15,23.15,23.15,23.15,0.0,
1998-05-31,22.83,22.83,22.83,22.83,0.0,
1998-06-07,22.69,22.69,22.69,22.69,0.0,
1998-06-14,22.03,22.03,22.03,22.03,0.0,
1998-06-21,21.84,21.84,21.84,21.84,0.0,
1998-06-28,22.23,22.23,22.23,22.23,0.0,
1998-07-05,22.52,22.52,22.52,22.52,0.0,
1998-07-12,22.55,22.55,22.55,22.55,0.0,
1998-07-19,22.57,22.57,22.57,22.57,0.0,
1998-07-26,21.56,21.56,21.56,21.56,0.0,
1998-08-02,20.73,20.73,20.73,20.73,0.0,
1998-08-09,20.6,20.6,20.6,20.6,0.0,
1998-08-16,20.18,20.18,20.18,20.18,0.0,
1998-08-23,19.68,19.68,19.68,19.68,0.0,
1998-08-30,17.88,17.88,17.88,17.88,0.0,
1998-09-06,17.14,17.14,17.14,17.14,0.0,
1998-09-13,17.29,17.29,17.29,17.29,0.0,
1998-09-20,17.62,17.62,17.62,17.62,0.0,
1998-09-27,17.68,17.68,17.68,17.68,0.0,
1998-10-04,16.96,16.96,16.96,16.96,0.0,
1998-10-11,15.49,15.49,15.49,15.49,0.0,
1998-10-18,16.32,16.32,16.32,16.32,0.0,
1998-10-25,17.61,17.61,17.61,17.61,0.0,
1998-11-01,18.13,18.13,18.13,18.13,0.0,
1998-11-08,19.2,19.2,19.2,19.2,0.0,
1998-11-15,18.83,18.83,18.83,18.83,0.0,
1998-11-22,18.94,18.94,18.94,18.94,0.0,
1998-11-29,19.22,19.22,19.22,19.22,0.0,
1998-12-06,19.06,19.06,19.06,19.06,0.0,
1998-12-13,18.76,18.76,18.76,18.76,0.0,
1998-12-20,18.62,18.62,18.62,18.62,0.0,
1998-12-27,17.29,17.29,17.29,17.29,0.0,
1999-01-03,17.93,17.93,17.93,17.93,0.0,
1999-01-10,18.59,18.59,18.59,18.59,0.0,
1999-01-17,18.45,18.45,18.45,18.45,0.0,
1999-01-24,18.27,18.27,18.27,18.27,0.0,
1999-01-31,18.21,18.21,18.21,18.21,0.0,
1999-02-07,17.71,17.71,17.71,17.71,0.0,
1999-02-14,17.16,17.16,17.16,17.16,0.0,
1999-02-21,16.86,16.86,16.86,16.86,0.0,
1999-02-28,16.71,16.71,16.71,16.71,0.0,
1999-03-07,16.77,16.77,16.77,16.77,0.0,
1999-03-14,16.85,16.85,16.85,16.85,0.0,
