583.98,1998
580,2001.67
580,2003.57
571.85,2004.07
571.33,1998.45
569.56,1997.42
577.27,2000.54
581.26,1998.59
584.72,1991.74
583.59,1992.6
583.82,1986.82
585.88,1980.46
585,1972.73
576.11,1958.36
577.86,1958.87
576.18,1947.41
567.31,1935.6
564.52,1935.73
569.99,1933.43
563.56,1910.35
568,1923.03
561.78,1917.29
570.05,1936.34
569.04,1926.62
570.4,1929.8
580.6,1965.14
586.55,1973.21
588.75,1980.03
588.07,1978.25
590.4,1984.6
596.45,1988.07
593.23,1985.32
590.72,1975.65
591.75,1976.93
593,1961.54
579.53,1979.75
588,1976.35
585.74,1977.36
582.6,1969.86
571.91,1965.76
565.91,1966.67
571.58,1965.1
577.66,1976.39
583.76,1984.22
583.35,1975.88
583.35,1973.06
578.32,1962.29
578.66,1960.79
577.18,1956.56
581,1959.89
565.26,1949.27
565.19,1961.97
555.15,1962.92
556.85,1960.45
554.24,1957.5
544.86,1942.73
544.2,1937.15
549.26,1934.84
552.26,1930.8
557.3,1943.35
558,1949.37
560.51,1950.34
557.15,1948.97
558.06,1942.41
546.4,1928.52
541.5,1923.06
550.99,1923.07
560.7,1923.87
560.8,1920.33
563.35,1910.6
564.57,1911.77
556,1902.01
547.26,1893.32
541.13,1888.19
532.9,1873.34
529.74,1884.88
519.7,1876.66
521.39,1871.19
525.7,1888.16
533,1897.13
530.89,1896.75
523.51,1880.03
510.75,1875.27
508.46,1877.39
515.79,1868.53
525.23,1883.69
524.82,1879.45
533.76,1885.3
527.11,1884.39
527.6,1877.1
516.9,1870.78
517.18,1865
522.51,1877.72
530.07,1881.97
533.79,1879.32
528.64,1872.57
536.1,1865.79
548.81,1861.73
543,1846.01
536.82,1831.45
538.25,1818.18
532.55,1830.65
565,1872.28
559.62,1852.64
542.6,1845.48
540.74,1863.92
574.65,1890.25
569.85,1891.43
282.43,1886.61
559.57,1873.96
564.63,1859.16
558.94,1850.07
564.86,1852.11
580.42,1867.09
582.42,1859.48
591.5,1867.67
602.55,1874.53
599.38,1860.09
605.29,1872.25
596.74,1858.92
589.04,1842.81
590.4,1845.07
603.37,1869.06
597.6,1866.15
606.28,1878.26
607.24,1877.86
612.79,1878.52
610.53,1874.18
606.92,1874.05
606.89,1849.23
602.77,1857.68
609.56,1855.12
608.59,1844.9
611.39,1845.79
607.36,1847.66
602.08,1836.78
603.3,1841.07
600.97,1829.24
602.05,1838.9
600.1,1839.03
597.21,1828.46
589.78,1814.82
593.91,1820.12
589.49,1800.45
585.31,1796.2
583.23,1776.01
574.99,1752.99
571.12,1753.38
568.43,1743.82
589.01,1782.68
585.09,1790.88
571.93,1777.17
559,1790.15
554.6,1783
562.49,1791.03
574.93,1826.96
579.42,1842.29
582.72,1844.71
579.88,1841.05
577.85,1844.23
573.98,1847.99
575.92,1840.52
568.41,1821.36
562.67,1841.26
568.97,1840.06
571.15,1839
572.43,1837.9
561.94,1828.71
555.95,1832.31
556.94,1833.21
557.17,1845.86
555.56,1842.61
559.61,1841.47
559.44,1842.97
556.45,1834.96
556.93,1828.02
553.37,1822.92
544.1,1810.39
540.18,1809
535.46,1781.46
536.51,1786.47
530.97,1777.48
537.07,1777.98
539.25,1781.71
543.16,1802.76
537.29,1807.6
534.51,1806.21
534.36,1788.36
528.07,1792.82
525.16,1793.15
524.95,1800.1
531.22,1806.55
530.55,1808.69
530.48,1803.48
523.78,1802.87
518.06,1806.33
516.19,1797.21
512.99,1783.52
514.46,1789.59
515.34,1790.79
517.36,1798.82
516.92,1790.66
516.44,1782.75
502.87,1764.37
503.35,1769.51
504.25,1769.96
503.87,1748.37
510.79,1770.74
512.29,1765
509.66,1765.67
515.23,1763.4
515.38,1758.7
513.95,1763.24
518.2,1772.27
509.04,1762.93
507.09,1759.42
513.9,1756.01
515.42,1747.48
500,1752.27
502,1746.48
505.22,1745.2
487.8,1736.72
446.05,1720.17
442.49,1700.49
437.44,1709.17
432.9,1699.86
432.58,1691.09
431.49,1660.88
427.71,1656.99
432.23,1676.22
433.29,1687.15
437.06,1678.79
443.56,1692.35
440.92,1691.9
439.68,1682.41
434.11,1687.26
436.97,1695.52
438.71,1694.05
442.83,1698.02
442.81,1702.6
447.63,1711.44
448.75,1722.44
452.54,1727.34
442.73,1705.74
443.26,1697.73
447.65,1691.7
446.8,1685.04
448.25,1689.21
