<<<<<<< HEAD
188.35,187.55,187.41,186.01,186.41,183.89,182.66,185.99,185.6,184.47,188.5,187.43,188.76,194.98,191.91,189.94,191.64,193.12,194.24,193.2,193.12,191.72,193.89,193.88,196.06,195.04,196.24,195.98,198.05,187.25,189.8,192.01,191.79,192.22,190.54,191.14,193.59,194.38,196.31,193.75,191.05,190.93,189.34,189.16,188.98,191.12,192.79,191.91,189.07,186.27,186.61,186.25,185.85,186.45,185.84,184.8,184.48,183.64,183.38,184.76,185.55,184.71,184.66,186.47,186.22,186.2,183.61,182.48,182.0,182.4,181.9,182.04,184.12,182.59,181.92,181.5,180.25,180.87,179.77,181.33,181.7,186.34,188.39,187.61,187.65,187.68,186.44,187.73,188.55,189.54,192.24,192.36,191.96,191.3,191.59,194.11,193.95,195.3,194.3,195.3,195.2,192.84,190.5,189.35,188.75,185.36,186.64,184.4,187.81,187.45,188.0,187.57,187.85,188.1,190.04,189.86,190.9,190.77,191.39,191.02,193.03,191.47,192.28,192.68,192.39,191.69
199.959160103,203.975596059,206.849401478,208.256902558,208.499397039,209.421824866,208.927554765,209.874552128,209.342981601,209.230806664,209.090935774,208.028988237,209.030228123,209.958332042,209.999346775,209.613764213,209.337728863,209.370654305,209.576519911,209.890475169,208.69353034,207.389381472,207.162549318,205.910950974,205.413105004,203.226848702,200.572472809,199.950474563,199.153208463,199.949665455,199.771767883,200.103575174,200.328445773,201.170333386,201.258844928,201.195615601,200.96550667,201.407989021,202.635533401,204.084777064,204.377068557,204.342193998,203.257115646,203.704690644,206.952967338,207.166464092,208.196822084,207.901522751,207.521853773,207.815123186,209.247953002,209.717829064,208.776317929,209.279290169,208.834224099,207.984179995,208.801567588,208.554318476,208.396216794,206.692893227,205.617320666,202.433057452,203.732306808,200.795166517,201.67328629,201.110106835,198.631576882,198.080313862,196.699737891,196.465801782,197.596496442,198.940164963,198.002599139,197.806992095,198.335747282,195.871729166,198.2310599,201.258852568,200.862334955,200.919670747,202.901658924,201.737220524,204.311932165,204.273899186,207.160240156,208.238769204,209.100360627,209.491468838,209.530518872,209.882930817,210.126650634,210.376874939,210.619299188,210.612471048,210.670012987,210.709667317,210.730430355,210.520922473,210.261926387,209.407369173,209.288780157,206.978636716,204.736512808,204.932797173,203.577691571,203.576257205,203.329206415,202.981850909,203.10638807,202.880441292,202.136129945,201.454262832,203.316464963,202.085524005,201.474561221,201.418227098,198.22408756,196.08214242,195.496748336,195.086361538,196.621302213,197.108842195,198.805147871,198.536027476,196.411392211,199.001918693
=======
521.39,519.7,529.74,532.9,541.13,547.26,556.0,564.57,563.35,560.8,560.7,550.99,541.5,546.4,558.06,557.15,560.51,558.0,557.3,552.26,549.26,544.2,544.86,554.24,556.85,555.15,565.19,565.26,581.0,577.18,578.66,578.32,583.35,583.35,583.76,577.66,571.58,565.91,571.91,582.6,585.74,588.0,579.53,593.0,591.75,590.72,593.23,596.45,590.4,588.07,588.75,586.55,580.6,570.4,569.04,570.05,561.78,568.0,563.56,569.99,564.52,567.31,576.18,577.86,576.11,585.0,585.88,583.82,583.59,584.72,581.26,577.27,569.56,571.33,571.85,580.0,580.0,583.98
510.254431808,508.24886372,518.706517892,524.833277541,534.688159021,545.41912188,554.358802572,564.165601282,563.546758869,562.329692945,562.431605518,554.550575153,544.597547016,548.840013468,561.112319447,561.321739408,563.065618663,560.043280751,559.248027758,552.692680011,548.359787928,543.602481583,543.681549557,553.333786904,556.716530902,553.70609148,562.410814282,563.201536655,577.187028171,577.489716956,580.786732542,581.732778258,585.289748479,587.640079083,587.529024343,583.853652986,578.387544373,571.433185974,575.606329376,584.586855334,588.684048243,590.403738497,584.909851923,591.664194444,592.559833635,591.745581737,593.026941063,595.101604349,592.927057113,590.949730901,591.329564454,590.580285685,585.118792021,575.889951472,574.505964911,573.893731948,566.160940835,568.0377386,564.024162149,568.352612818,563.926280436,562.697726555,573.142508095,574.717041545,575.103716888,582.777619399,585.94269698,586.131300401,584.472787604,586.986640971,585.412277899,582.834658168,575.692233863,576.546070434,576.879990658,582.720302033,583.656981454,585.742930903
>>>>>>> 26714c785f3a7fdf3a019eaee74b37fda9abbc0e
